SKU,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: ocean_sidebar,Meta: ocean_second_sidebar,Meta: ocean_disable_margins,Meta: ocean_display_top_bar,Meta: ocean_display_header,Meta: ocean_center_header_left_menu,Meta: ocean_custom_header_template,Meta: ocean_header_custom_menu,Meta: ocean_menu_typo_font_family,Meta: ocean_disable_title,Meta: ocean_disable_heading,Meta: ocean_disable_breadcrumbs,Meta: ocean_display_footer_widgets,Meta: ocean_display_footer_bottom,Meta: ocean_custom_footer_template,Meta: _wpml_media_featured,Meta: _wc_product_documents_title,Meta: _wc_product_documents_display,Meta: _wpml_word_count,Meta: _yoast_wpseo_primary_product_cat,Meta: osh_disable_topbar_sticky,Meta: osh_disable_header_sticky,Meta: osh_sticky_header_style,Meta: _wpml_media_duplicate,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_focuskeywords,Meta: _yoast_wpseo_keywordsynonyms,Meta: _wpml_media_has_media,Meta: wbcr_wp_old_slug,Meta: _wp_old_date,Meta: _oembed_533515a706e016a9bb304a9772c907bb,Meta: _oembed_time_533515a706e016a9bb304a9772c907bb,Meta: _oembed_bfb8e4d53f7029a37bc2ec572bb20b50,Meta: _oembed_time_bfb8e4d53f7029a37bc2ec572bb20b50,Meta: ocean_post_title_style,Meta: ocean_post_title_background,Meta: ocean_post_title_bg_image_repeat,Meta: ocean_post_title_bg_image_size,Meta: ocean_post_title_bg_overlay,Meta: ocean_post_title_bg_image_position,Meta: _oembed_cf5fdf2a60f830e751fd1e288dbafa69,Meta: _oembed_time_cf5fdf2a60f830e751fd1e288dbafa69,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta: _oembed_86593aa9e750ff0f36a65e39973ef073,Meta: _oembed_time_86593aa9e750ff0f36a65e39973ef073,Meta: _oembed_b33ae0ea6d4e6f2962235e24f863946f,Meta: _oembed_time_b33ae0ea6d4e6f2962235e24f863946f,Meta: _oembed_86ffc6ca0f8f231f0b249032a7f5b2c7,Meta: _oembed_time_86ffc6ca0f8f231f0b249032a7f5b2c7
PC108-10,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC108,,,"PC005, N275, PC009",,,3,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,laminel-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
PC217,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,"PC222, PC102, PC206","PC001, N262, id:985",,,0,Бренд,,1,1,Запах,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":87,""to_translate"":{""ru"":87}}",,default,default,default,1,AIR FRESH,41,90,,,1,,,,,,,,,,,,,,,Об'єм,,1,1,,,,,,
"PC208-0,75",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC217,,,"PC001, N262, id:985",,,0,Запах,Ваніль,,1,Об'єм,750 мл,,1,,,,,,,,,,,,,,,,1,,,"{""total"":16,""to_translate"":{""ru"":16}}",,,,,1,,,,,,1,air-fresh-750-%d0%bc%d0%bb-%d0%b2%d0%b0%d0%bd%d1%96%d0%bb%d1%8c,,,,,,,,,,,,,,,,,,,,,,,
PC208-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC217,,,"PC001, N262, id:985",,,2,Запах,Ваніль,,1,Об'єм,6 л,,1,,,,,,,,,,,,,,,,1,,,"{""total"":16,""to_translate"":{""ru"":16}}",,,,,1,,,,,,1,air-fresh-6-%d0%bb-%d0%b2%d0%b0%d0%bd%d1%96%d0%bb%d1%8c,,,,,,,,,,,,,,,,,,,,,,,
"PC217-0,75",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC217,,,"PC001, N262, id:985",,,3,Запах,Залений чай,,1,Об'єм,750 мл,,1,,,,,,,,,,,,,,,,1,,,"{""total"":19,""to_translate"":{""ru"":19}}",,,,,1,,,,,,1,air-fresh-750-%d0%bc%d0%bb-%d0%b7%d0%b0%d0%bb%d0%b5%d0%bd%d0%b8%d0%b9-%d1%87%d0%b0%d0%b9,,,,,,,,,,,,,,,,,,,,,,,
PC217-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC217,,,"PC001, N262, id:985",,,4,Запах,Залений чай,,1,Об'єм,6 л,,1,,,,,,,,,,,,,,,,1,,,"{""total"":19,""to_translate"":{""ru"":19}}",,,,,1,,,,,,1,air-fresh-6-%d0%bb-%d0%b7%d0%b0%d0%bb%d0%b5%d0%bd%d0%b8%d0%b9-%d1%87%d0%b0%d0%b9,,,,,,,,,,,,,,,,,,,,,,,
"PC209-0,75",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC217,,,"PC001, N262, id:985",,,5,Запах,Яблуко,,1,Об'єм,750 мл,,1,,,,,,,,,,,,,,,,1,,,"{""total"":16,""to_translate"":{""ru"":16}}",,,,,1,,,,,,1,air-fresh-750-%d0%bc%d0%bb-%d1%8f%d0%b1%d0%bb%d1%83%d0%ba%d0%be,,,,,,,,,,,,,,,,,,,,,,,
PC209-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC217,,,"PC001, N262, id:985",,,6,Запах,Яблуко,,1,Об'єм,6 л,,1,,,,,,,,,,,,,,,,1,,,"{""total"":16,""to_translate"":{""ru"":16}}",,,,,1,,,,,,1,air-fresh-6-%d0%bb-%d1%8f%d0%b1%d0%bb%d1%83%d0%ba%d0%be,,,,,,,,,,,,,,,,,,,,,,,
PC222,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,"PC217, PC105, PC206","PC112, PC001, PC117",,,0,Бренд,,1,1,Запах,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":99,""to_translate"":{""ru"":99}}",,default,default,default,0,DEEP,41,90,,,1,,,,,,,,,,,,,,,Об'єм,,1,1,,,,,,
"PC220-0,2",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,1,Запах,Букет квітів,,1,Об'єм,200 мл,,1,,,,,,,,,,,,,,,,1,,,"{""total"":17,""to_translate"":{""ru"":17}}",,,,,1,,,,,,1,deep-200-%d0%bc%d0%bb-%d0%b1%d1%83%d0%ba%d0%b5%d1%82-%d0%ba%d0%b2%d1%96%d1%82%d1%96%d0%b2,,,,,,,,,,,,,,,,,,,,,,,
PC220-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,2,Запах,Букет квітів,,1,Об'єм,6 л,,1,,,,,,,,,,,,,,,,1,,,"{""total"":17,""to_translate"":{""ru"":17}}",,,,,1,,,,,,1,deep-6-%d0%bb-%d0%b1%d1%83%d0%ba%d0%b5%d1%82-%d0%ba%d0%b2%d1%96%d1%82%d1%96%d0%b2,,,,,,,,,,,,,,,,,,,,,,,
"PC227-0,2",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,3,Запах,Ейфорія,,1,Об'єм,200 мл,,1,,,,,,,,,,,,,,,,1,,,"{""total"":14,""to_translate"":{""ru"":14}}",,,,,1,,,,,,1,deep-200-%d0%bc%d0%bb-%d0%b5%d0%b9%d1%84%d0%be%d1%80%d1%96%d1%8f,,,,,,,,,,,,,,,,,,,,,,,
"PC221-0,2",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,5,Запах,Залений чай,,1,Об'єм,200 мл,,1,,,,,,,,,,,,,,,,1,,,"{""total"":17,""to_translate"":{""ru"":17}}",,,,,1,,,,,,1,deep-200-%d0%bc%d0%bb-%d0%b7%d0%b0%d0%bb%d0%b5%d0%bd%d0%b8%d0%b9-%d1%87%d0%b0%d0%b9,,,,,,,,,,,,,,,,,,,,,,,
PC221-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,6,Запах,Залений чай,,1,Об'єм,6 л,,1,,,,,,,,,,,,,,,,1,,,"{""total"":17,""to_translate"":{""ru"":17}}",,,,,1,,,,,,1,deep-6-%d0%bb-%d0%b7%d0%b0%d0%bb%d0%b5%d0%bd%d0%b8%d0%b9-%d1%87%d0%b0%d0%b9,,,,,,,,,,,,,,,,,,,,,,,
"PC223-0,2",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,7,Запах,Новий автомобіль,,1,Об'єм,200 мл,,1,,,,,,,,,,,,,,,,1,,,"{""total"":17,""to_translate"":{""ru"":17}}",,,,,1,,,,,,1,deep-200-%d0%bc%d0%bb-%d0%bd%d0%be%d0%b2%d0%b8%d0%b9-%d0%b0%d0%b2%d1%82%d0%be%d0%bc%d0%be%d0%b1%d1%96%d0%bb%d1%8c,,,,,,,,,,,,,,,,,,,,,,,
PC223-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,8,Запах,Новий автомобіль,,1,Об'єм,6 л,,1,,,,,,,,,,,,,,,,1,,,"{""total"":17,""to_translate"":{""ru"":17}}",,,,,1,,,,,,1,deep-6-%d0%bb-%d0%bd%d0%be%d0%b2%d0%b8%d0%b9-%d0%b0%d0%b2%d1%82%d0%be%d0%bc%d0%be%d0%b1%d1%96%d0%bb%d1%8c,,,,,,,,,,,,,,,,,,,,,,,
"PC222-0,2",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,9,Запах,Фруктовий мікс,,1,Об'єм,200 мл,,1,,,,,,,,,,,,,,,,1,,,"{""total"":17,""to_translate"":{""ru"":17}}",,,,,1,,,,,,1,deep-200-%d0%bc%d0%bb-%d1%84%d1%80%d1%83%d0%ba%d1%82%d0%be%d0%b2%d0%b8%d0%b9-%d0%bc%d1%96%d0%ba%d1%81,,,,,,,,,,,,,,,,,,,,,,,
PC222-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC222,,,"PC112, PC001, PC117",,,10,Запах,Фруктовий мікс,,1,Об'єм,6 л,,1,,,,,,,,,,,,,,,,1,,,"{""total"":17,""to_translate"":{""ru"":17}}",,,,,1,,,,,,1,deep-6-%d0%bb-%d1%84%d1%80%d1%83%d0%ba%d1%82%d0%be%d0%b2%d0%b8%d0%b9-%d0%bc%d1%96%d0%ba%d1%81,,,,,,,,,,,,,,,,,,,,,,,
PC107,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,"PC222, PC111, PC203","A172, N262, id:985",,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":143,""to_translate"":{""ru"":143}}",,default,default,default,1,TAPI WASHER,41,90,,,1,,,,,,,,,,,,,,,,,,,"<iframe title=""TAPI WASHER PRO-CHEM - Płyn do prania tapicerki"" width=""1200"" height=""900"" src=""https://www.youtube.com/embed/ONXtp2dKc1M?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1566223633,,,,
PC107-20,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC107,,,"A172, N262, id:985",,,0,Об'єм,20 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,tapi-washer-20-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
PC107-20-2,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC107,,,"A172, N262, id:985",,,2,Об'єм,2x20 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,tapi-washer-2x20-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
PC107-1,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC107,,,"A172, N262, id:985",,,3,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,tapi-washer-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
PC107-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC107,,,"A172, N262, id:985",,,4,Об'єм,6 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,tapi-washer-6-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
PC107-10,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC107,,,"A172, N262, id:985",,,5,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,tapi-washer-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
PC102,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,"PC219, PC008, PC022","id:981, N275, N287",,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":145,""to_translate"":{""ru"":145}}",,default,default,default,1,NANO,36,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"PC102-0,75",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC102,,,"id:981, N275, N287",,,0,Об'єм,750 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":9,""to_translate"":{""ru"":9}}",,,,,1,,,,,,1,750-%d0%bc%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
PC102-6,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC102,,,"id:981, N275, N287",,,2,Об'єм,6 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,6-%d0%bb-2,,,,,,,,,,,,,,,,,,,,,,,
PC102-10,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC102,,,"id:981, N275, N287",,,3,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,10-%d0%bb-2,,,,,,,,,,,,,,,,,,,,,,,
N256,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,0,,,,,,,,,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,,,,,,,,,1,MIKROFIBRA PERFECT GLASS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
PC103,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,"PC222, PC112, PC113","PC004, PC102, PC014",,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":112,""to_translate"":{""ru"":112}}",,default,default,default,0,SHINE,40,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"PC103-0,2",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC103,,,"PC004, PC102, PC014",,,0,Об'єм,200 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,shine-200-%d0%bc%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
"PC103-0,75",1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,PC103,,,"PC004, PC102, PC014",,,2,Об'єм,750 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,shine-750-%d0%bc%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
