ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: ocean_sidebar,Meta: ocean_second_sidebar,Meta: ocean_disable_margins,Meta: ocean_display_top_bar,Meta: ocean_display_header,Meta: ocean_center_header_left_menu,Meta: ocean_custom_header_template,Meta: ocean_header_custom_menu,Meta: ocean_menu_typo_font_family,Meta: ocean_disable_title,Meta: ocean_disable_heading,Meta: ocean_disable_breadcrumbs,Meta: ocean_display_footer_widgets,Meta: ocean_display_footer_bottom,Meta: ocean_custom_footer_template,Meta: _wpml_media_featured,Meta: _wc_product_documents_title,Meta: _wc_product_documents_display,Meta: _wpml_word_count,Meta: _yoast_wpseo_primary_product_cat,Meta: osh_disable_topbar_sticky,Meta: osh_disable_header_sticky,Meta: osh_sticky_header_style,Meta: _wpml_media_duplicate,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_focuskeywords,Meta: _yoast_wpseo_keywordsynonyms,Meta: _wpml_media_has_media,Meta: wbcr_wp_old_slug,Meta: _wp_old_date,Meta: _oembed_533515a706e016a9bb304a9772c907bb,Meta: _oembed_time_533515a706e016a9bb304a9772c907bb,Meta: _oembed_bfb8e4d53f7029a37bc2ec572bb20b50,Meta: _oembed_time_bfb8e4d53f7029a37bc2ec572bb20b50,Meta: ocean_post_title_style,Meta: ocean_post_title_background,Meta: ocean_post_title_bg_image_repeat,Meta: ocean_post_title_bg_image_size,Meta: ocean_post_title_bg_overlay,Meta: ocean_post_title_bg_image_position,Meta: _oembed_cf5fdf2a60f830e751fd1e288dbafa69,Meta: _oembed_time_cf5fdf2a60f830e751fd1e288dbafa69,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta: _oembed_86593aa9e750ff0f36a65e39973ef073,Meta: _oembed_time_86593aa9e750ff0f36a65e39973ef073,Meta: _oembed_b33ae0ea6d4e6f2962235e24f863946f,Meta: _oembed_time_b33ae0ea6d4e6f2962235e24f863946f,Meta: _oembed_86ffc6ca0f8f231f0b249032a7f5b2c7,Meta: _oembed_time_86ffc6ca0f8f231f0b249032a7f5b2c7
761,variation,PC116-4,IMPERIAL - 4 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,415.8,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/IMPERIAL-1.jpg,,,PC116,,,"PC004, PC005, PC113",,,2,Об'єм,4 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,imperial-4-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
762,variation,PC116-10,IMPERIAL - 10 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,883.58,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/IMPERIAL-1.jpg,,,PC116,,,"PC004, PC005, PC113",,,3,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,imperial-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
763,simple,PC104,BURNOUT,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/BURNOUT.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/BURNOUT-1.jpg",,,,,"PC222, PC005, PC108","PC006, PC212, FOR05",,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":174,""to_translate"":{""ru"":174}}",,default,default,default,1,BURNOUT,47,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,
764,variation,"PC104-0,6",BURNOUT - 600 мл,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,155.93,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/BURNOUT.jpg,,,PC104,,,"PC006, PC212, FOR05",,,0,Об'єм,600 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,burnout-600-%d0%bc%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
765,variation,PC104-6,BURNOUT - 6 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,1113.75,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/BURNOUT-1.jpg,,,PC104,,,"PC006, PC212, FOR05",,,2,Об'єм,6 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,burnout-6-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
768,simple,PC109,MAGIC,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/MAGIC.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/MAGIC-1.jpg",,,,,"PC106, PC108, PC102","PC005, PC116, PC118",,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":137,""to_translate"":{""ru"":137}}",,default,default,default,1,MAGIC,41,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,
771,variation,PC109-1,MAGIC - 1 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,103.95,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/MAGIC.jpg,,,PC109,,,"PC005, PC116, PC118",,,0,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,magic-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
772,variation,PC109-6,MAGIC - 6 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,556.94,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/MAGIC-1.jpg,,,PC109,,,"PC005, PC116, PC118",,,2,Об'єм,6 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,magic-6-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
773,variation,PC109-10,MAGIC - 10 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,853.94,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/MAGIC-1.jpg,,,PC109,,,"PC005, PC116, PC118",,,3,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,magic-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
774,simple,PC117,MYSTERY,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,82.15,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/MYSTERY.jpg,,,,,,,,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Product Documents,no,"{""total"":70,""to_translate"":{""ru"":70}}",,default,default,default,1,MYSTERY,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,simple,PC113,SOFT HONEY,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-HONEY.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-HONEY-1.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-HONEY-2.jpg",,,,,"PC222, PC002, PC105","PC217, PC102, PC103",,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":70,""to_translate"":{""ru"":70}}",,default,default,default,1,SOFT HONEY,40,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,
781,variation,"PC113-0,5",SOFT HONEY - 500 мл,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,51.98,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-HONEY.jpg,,,PC113,,,"PC217, PC102, PC103",,,0,Об'єм,500 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,soft-honey-500-%d0%bc%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
782,variation,PC113-1,SOFT HONEY - 1 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,74.25,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-HONEY-1.jpg,,,PC113,,,"PC217, PC102, PC103",,,2,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,soft-honey-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
783,variation,PC113-6,SOFT HONEY - 6 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,378.68,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-HONEY-2.jpg,,,PC113,,,"PC217, PC102, PC103",,,3,Об'єм,6 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,soft-honey-6-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
784,variation,PC113-10,SOFT HONEY - 10 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,594,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-HONEY-2.jpg,,,PC113,,,"PC217, PC102, PC103",,,4,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,soft-honey-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
785,simple,PC105,SOFT ORANGE,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-ORANGE.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-ORANGE-1.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-ORANGE-2.jpg",,,,,"PC222, PC118, PC113","PC116, PC112, PC103",,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":67,""to_translate"":{""ru"":67}}",,default,default,default,1,SOFT ORANGE,41,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,
789,variation,"PC105-0,5",SOFT ORANGE - 500 мл,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,51.98,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-ORANGE.jpg,,,PC105,,,"PC116, PC112, PC103",,,0,Об'єм,500 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,500-%d0%bc%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
790,variation,PC105-1,SOFT ORANGE - 1 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,74.25,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-ORANGE-1.jpg,,,PC105,,,"PC116, PC112, PC103",,,2,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
791,variation,PC105-6,SOFT ORANGE - 6 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,378.68,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-ORANGE-2.jpg,,,PC105,,,"PC116, PC112, PC103",,,3,Об'єм,6 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,6-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
792,variation,PC105-10,SOFT ORANGE - 10 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,594,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SOFT-ORANGE-2.jpg,,,PC105,,,"PC116, PC112, PC103",,,4,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
794,simple,PC110,WASH MASTER,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/WASH-MASTER.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/WASH-MASTER-1.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/WASH-MASTER-2.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/WASH-MASTER-3.jpg",,,,,"PC116, PC118, PC113","PC202, PC225, PC011",,,0,Бренд,,1,1,Запах,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":85,""to_translate"":{""ru"":85}}",,default,default,default,1,WASH MASTER,41,90,,,1,,,,,,,,,,,,,,,Об'єм,,1,1,,,,,,
